Action|Time|Value
-|1|-
KEY_DOWN | 0.175886 | W
KEY_DOWN | 0.167083 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.198276 | L
KEY_UP |0.0| L
KEY_DOWN | 0.631140 | C
KEY_UP |0.0| C
KEY_DOWN | 0.200807 | O
KEY_UP |0.0| O
KEY_DOWN | 0.144459 | M
KEY_UP |0.0| M
KEY_DOWN | 0.190514 | E
KEY_UP |0.0| E
KEY_DOWN | 0.247300 | D4
KEY_DOWN | 0.606381 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.166666 | W
KEY_DOWN | 0.214155 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.319708 | L
KEY_UP |0.0| L
KEY_DOWN | 0.161593 | C
KEY_UP |0.0| C
KEY_DOWN | 0.222900 | O
KEY_UP |0.0| O
KEY_DOWN | 0.222372 | M
KEY_UP |0.0| M
KEY_DOWN | 0.991939 | E
KEY_UP |0.0| E
KEY_DOWN | 0.134360 | D4
KEY_DOWN | 0.575250 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.222426 | W
KEY_DOWN | 0.247558 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.311774 | L
KEY_UP |0.0| L
KEY_DOWN | 0.119408 | C
KEY_UP |0.0| C
KEY_DOWN | 0.191236 | O
KEY_UP |0.0| O
KEY_DOWN | 0.719559 | M
KEY_UP |0.0| M
KEY_DOWN | 0.774124 | E
KEY_UP |0.0| E
KEY_DOWN | 0.303630 | D4
KEY_DOWN | 0.959726 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.215668 | W
KEY_DOWN | 0.231285 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.249073 | L
KEY_UP |0.0| L
KEY_DOWN | 0.101722 | C
KEY_UP |0.0| C
KEY_DOWN | 0.192760 | O
KEY_UP |0.0| O
KEY_DOWN | 0.655200 | M
KEY_UP |0.0| M
KEY_DOWN | 0.614231 | E
KEY_UP |0.0| E
KEY_DOWN | 0.136565 | D4
KEY_DOWN | 0.909756 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.046767 | W
KEY_DOWN | 0.249370 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.165424 | L
KEY_UP |0.0| L
KEY_DOWN | 0.112764 | C
KEY_UP |0.0| C
KEY_DOWN | 0.199175 | O
KEY_UP |0.0| O
KEY_DOWN | 0.255940 | M
KEY_UP |0.0| M
KEY_DOWN | 0.543651 | E
KEY_UP |0.0| E
