Action|Time|Value
-|1|-
KEY_DOWN | 0.200869 | W
KEY_DOWN | 0.638764 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.357618 | L
KEY_UP |0.0| L
KEY_DOWN | 0.210692 | C
KEY_UP |0.0| C
KEY_DOWN | 0.081340 | O
KEY_UP |0.0| O
KEY_DOWN | 0.620763 | M
KEY_UP |0.0| M
KEY_DOWN | 0.434987 | E
KEY_UP |0.0| E
KEY_DOWN | 0.878928 | D4
KEY_DOWN | 1.909515 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.494015 | W
KEY_DOWN | 0.605566 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.427825 | L
KEY_UP |0.0| L
KEY_DOWN | 0.038187 | C
KEY_UP |0.0| C
KEY_DOWN | 0.262932 | O
KEY_UP |0.0| O
KEY_DOWN | 1.938257 | M
KEY_UP |0.0| M
KEY_DOWN | 0.339940 | E
KEY_UP |0.0| E
KEY_DOWN | 0.898818 | D4
KEY_DOWN | 1.938257 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.153012 | W
KEY_DOWN | 0.236025 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.340838 | L
KEY_UP |0.0| L
KEY_DOWN | 0.094041 | C
KEY_UP |0.0| C
KEY_DOWN | 0.054988 | O
KEY_UP |0.0| O
KEY_DOWN | 0.386324 | M
KEY_UP |0.0| M
KEY_DOWN | 0.444944 | E
KEY_UP |0.0| E
KEY_DOWN | 0.118347 | D4
KEY_DOWN | 1.405890 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.145297 | W
KEY_DOWN | 0.105185 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.189158 | L
KEY_UP |0.0| L
KEY_DOWN | 0.104443 | C
KEY_UP |0.0| C
KEY_DOWN | 0.044096 | O
KEY_UP |0.0| O
KEY_DOWN | 0.478270 | M
KEY_UP |0.0| M
KEY_DOWN | 0.390173 | E
KEY_UP |0.0| E
KEY_DOWN | 0.102695 | D4
KEY_DOWN | 1.526672 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.158403 | W
KEY_DOWN | 0.105100 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.124912 | L
KEY_UP |0.0| L
KEY_DOWN | 0.079512 | C
KEY_UP |0.0| C
KEY_DOWN | 0.074214 | O
KEY_UP |0.0| O
KEY_DOWN | 0.221773 | M
KEY_UP |0.0| M
KEY_DOWN | 0.499204 | E
KEY_UP |0.0| E
KEY_DOWN | 0.006796 | D4
KEY_DOWN | 1.827929 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
KEY_DOWN | 0.157125 | W
KEY_DOWN | 0.142514 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 1.155902 | L
KEY_UP |0.0| L
KEY_DOWN | 0.033536 | C
KEY_UP |0.0| C
KEY_DOWN | 0.034956 | O
KEY_UP |0.0| O
KEY_DOWN | 0.237097 | M
KEY_UP |0.0| M
KEY_DOWN | 0.449443 | E
KEY_UP |0.0| E
KEY_DOWN | 0.021870 | D4
KEY_DOWN | 1.203226 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|6|-
-|7|-
KEY_DOWN | 0.125466 | W
KEY_DOWN | 0.161602 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.180372 | L
KEY_UP |0.0| L
KEY_DOWN | 0.073853 | C
KEY_UP |0.0| C
KEY_DOWN | 0.045243 | O
KEY_UP |0.0| O
KEY_DOWN | 0.215849 | M
KEY_UP |0.0| M
KEY_DOWN | 0.350491 | E
KEY_UP |0.0| E
KEY_DOWN | 0.029309 | D4
KEY_DOWN | 0.690780 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|7|-
-|8|-
KEY_DOWN | 0.207326 | W
KEY_DOWN | 0.069767 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.200121 | L
KEY_UP |0.0| L
KEY_DOWN | 0.074575 | C
KEY_UP |0.0| C
KEY_DOWN | 0.033787 | O
KEY_UP |0.0| O
KEY_DOWN | 0.451941 | M
KEY_UP |0.0| M
KEY_DOWN | 0.413057 | E
KEY_UP |0.0| E
KEY_DOWN | 0.017154 | D4
KEY_DOWN | 0.701841 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|8|-
-|9|-
KEY_DOWN | 0.131128 | W
KEY_DOWN | 0.103348 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.107507 | L
KEY_UP |0.0| L
KEY_DOWN | 0.098801 | C
KEY_UP |0.0| C
KEY_DOWN | 0.035309 | O
KEY_UP |0.0| O
KEY_DOWN | 0.433496 | M
KEY_UP |0.0| M
KEY_DOWN | 0.564550 | E
KEY_UP |0.0| E
KEY_DOWN | 0.064926 | D4
