Action|Time|Value
-|1|-
KEY_DOWN | 0.183241 | W
KEY_DOWN | 0.256325 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.262174 | L
KEY_UP |0.0| L
KEY_DOWN | 0.120056 | C
KEY_UP |0.0| C
KEY_DOWN | 0.175089 | O
KEY_UP |0.0| O
KEY_DOWN | 0.366990 | M
KEY_UP |0.0| M
KEY_DOWN | 0.406900 | E
KEY_UP |0.0| E
KEY_DOWN | 0.360688 | D4
KEY_DOWN | 0.894908 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.197148 | W
KEY_DOWN | 0.368763 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.176135 | L
KEY_UP |0.0| L
KEY_DOWN | 0.166936 | C
KEY_UP |0.0| C
KEY_DOWN | 0.174474 | O
KEY_UP |0.0| O
KEY_DOWN | 0.262844 | M
KEY_UP |0.0| M
KEY_DOWN | 0.353385 | E
KEY_UP |0.0| E
KEY_DOWN | 0.301590 | D4
KEY_DOWN | 0.527631 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.176132 | W
KEY_DOWN | 0.231849 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.191545 | L
KEY_UP |0.0| L
KEY_DOWN | 0.142565 | C
KEY_UP |0.0| C
KEY_DOWN | 0.160408 | O
KEY_UP |0.0| O
KEY_DOWN | 0.150437 | M
KEY_UP |0.0| M
KEY_DOWN | 0.591740 | E
KEY_UP |0.0| E
KEY_DOWN | 0.320706 | D4
KEY_DOWN | 0.398113 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.174907 | W
KEY_DOWN | 0.351176 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.199307 | L
KEY_UP |0.0| L
KEY_DOWN | 0.153161 | C
KEY_UP |0.0| C
KEY_DOWN | 0.167363 | O
KEY_UP |0.0| O
KEY_DOWN | 0.207889 | M
KEY_UP |0.0| M
KEY_DOWN | 0.342451 | E
KEY_UP |0.0| E
KEY_DOWN | 0.406449 | D4
KEY_DOWN | 0.399104 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.158555 | W
KEY_DOWN | 0.304165 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.230388 | L
KEY_UP |0.0| L
KEY_DOWN | 0.127402 | C
KEY_UP |0.0| C
KEY_DOWN | 0.167079 | O
KEY_UP |0.0| O
KEY_DOWN | 0.280167 | M
KEY_UP |0.0| M
KEY_DOWN | 0.430775 | E
KEY_UP |0.0| E
KEY_DOWN | 0.383793 | D4
KEY_DOWN | 0.358355 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
KEY_DOWN | 0.182490 | W
KEY_DOWN | 0.440037 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.166302 | L
KEY_UP |0.0| L
KEY_DOWN | 0.159887 | C
KEY_UP |0.0| C
KEY_DOWN |0.150913| O
KEY_UP |0.0| O
KEY_DOWN | 0.206560 | M
KEY_UP |0.0| M
KEY_DOWN | 0.263139 | E
KEY_UP |0.0| E
KEY_DOWN | 0.327515 | D4
KEY_DOWN | 0.328281 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|6|-
-|7|-
KEY_DOWN | 0.176553 | W
KEY_DOWN | 0.295034 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
