Action|Time|Value
-|1|-
KEY_DOWN | 0.166911 | W
KEY_DOWN | 0.110818 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.496643 | L
KEY_UP |0.0| L
KEY_DOWN | 0.135509 | C
KEY_UP |0.0| C
KEY_DOWN | 0.205532 | O
KEY_UP |0.0| O
KEY_DOWN | 1.007372 | M
KEY_UP |0.0| M
KEY_DOWN | 1.944423 | E
KEY_UP |0.0| E
KEY_DOWN | 0.262779 | D4
KEY_DOWN | 0.326772 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.319916 | W
KEY_DOWN | 0.312741 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN |0.261495| L
KEY_UP |0.0| L
KEY_DOWN | 0.255470 | C
KEY_UP |0.0| C
KEY_DOWN | 0.296590 | O
KEY_UP |0.0| O
KEY_DOWN | 0.671332 | M
KEY_UP |0.0| M
KEY_DOWN | 0.471399 | E
KEY_UP |0.0| E
KEY_DOWN | 0.391280 | D4
KEY_DOWN | 0.301966 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.176292 | W
KEY_DOWN | 0.222185 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.199628 | L
KEY_UP |0.0| L
KEY_DOWN | 0.256629 | C
KEY_UP |0.0| C
KEY_DOWN | 0.190869 | O
KEY_UP |0.0| O
KEY_DOWN | 0.527026 | M
KEY_UP |0.0| M
KEY_DOWN | 0.807987 | E
KEY_UP |0.0| E
KEY_DOWN | 0.264243 | D4
KEY_DOWN | 0.390227 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.175619 | W
KEY_DOWN | 0.206388 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.193418 | L
KEY_UP |0.0| L
KEY_DOWN | 0.199596 | C
KEY_UP |0.0| C
KEY_DOWN | 0.198195 | O
KEY_UP |0.0| O
KEY_DOWN | 0.247542 | M
KEY_UP |0.0| M
KEY_DOWN | 0.422279 | E
KEY_UP |0.0| E
KEY_DOWN | 0.305021 | D4
KEY_DOWN | 0.333476 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.215416 | W
KEY_DOWN | 0.265743 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.156463 | L
KEY_UP |0.0| L
KEY_DOWN | 0.239513 | C
KEY_UP |0.0| C
KEY_DOWN | 0.207631 | O
KEY_UP |0.0| O
KEY_DOWN | 0.399685 | M
KEY_UP |0.0| M
KEY_DOWN | 0.801491 | E
KEY_UP |0.0| E
KEY_DOWN | 0.246812 | D4
KEY_DOWN | 0.740792 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
KEY_DOWN | 0.209131 | W
KEY_DOWN | 0.301777 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.185256 | L
KEY_UP |0.0| L
KEY_DOWN | 0.222350 | C
KEY_UP |0.0| C
KEY_DOWN | 0.208129 | O
KEY_UP |0.0| O
KEY_DOWN | 0.486504 | M
KEY_UP |0.0| M
KEY_DOWN | 0.510855 | E
KEY_UP |0.0| E
KEY_DOWN | 0.279880 | D4
KEY_DOWN | 0.303162 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|6|-
-|7|-
KEY_DOWN | 0.254469 | W
