Action|Time|Value
-|1|-
KEY_DOWN | 0.460090 | W
KEY_DOWN | 0.108060 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.012766 | L
KEY_UP |0.0| L
KEY_DOWN | 0.037490 | C
KEY_UP |0.0| C
KEY_DOWN | 0.066013 | O
KEY_UP |0.0| O
KEY_DOWN | 0.348548 | M
KEY_UP |0.0| M
KEY_DOWN | 0.054980 | E
KEY_UP |0.0| E
KEY_DOWN | 0.012758 | D4
KEY_DOWN | 0.133530 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.203174 | W
KEY_DOWN | 0.047486 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.123495 | L
KEY_UP |0.0| L
KEY_DOWN | 0.036879 | C
KEY_UP |0.0| C
KEY_DOWN | 0.328462 | O
KEY_UP |0.0| O
KEY_DOWN | 0.021575 | M
KEY_UP |0.0| M
KEY_DOWN | 0.133577 | E
KEY_UP |0.0| E
KEY_DOWN | 0.195336 | D4
KEY_DOWN | 0.005480 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.164306 | W
KEY_DOWN | 0.308957 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.038512 | L
KEY_UP |0.0| L
KEY_DOWN | 0.189191 | C
KEY_UP |0.0| C
KEY_DOWN | 0.260490 | O
KEY_UP |0.0| O
KEY_DOWN | 0.046359 | M
KEY_UP |0.0| M
KEY_DOWN | 0.076738 | E
KEY_UP |0.0| E
KEY_DOWN | 0.330045 | D4
KEY_DOWN | 0.068968 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.027266 | W
KEY_DOWN | 0.150349 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.469030 | L
KEY_UP |0.0| L
KEY_DOWN | 0.032322 | C
KEY_UP |0.0| C
KEY_DOWN | 0.067882 | O
KEY_UP |0.0| O
KEY_DOWN | 0.004723 | M
KEY_UP |0.0| M
KEY_DOWN | 0.024386 | E
KEY_UP |0.0| E
KEY_DOWN | 0.163583 | D4
KEY_DOWN | 0.452690 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.020467 | W
KEY_DOWN | 0.034404 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.116124 | L
KEY_UP |0.0| L
KEY_DOWN | 0.276084 | C
KEY_UP |0.0| C
KEY_DOWN | 0.014394 | O
KEY_UP |0.0| O
KEY_DOWN | 0.043714 | M
KEY_UP |0.0| M
KEY_DOWN | 0.276311 | E
KEY_UP |0.0| E
KEY_DOWN | 0.022213 | D4
KEY_DOWN | 0.037830 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
