Action|Time|Value
-|1|-
KEY_DOWN | 0.255591 | W
KEY_DOWN | 0.150292 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.407649 | L
KEY_UP |0.0| L
KEY_DOWN | 0.168389 | C
KEY_UP |0.0| C
KEY_DOWN | 0.072449 | O
KEY_UP |0.0| O
KEY_DOWN | 0.206373 | M
KEY_UP |0.0| M
KEY_DOWN | 0.750332 | E
KEY_UP |0.0| E
KEY_DOWN | 0.255552 | D4
KEY_DOWN | 0.959133 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.102792 | W
KEY_DOWN | 0.190278 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.168707 | L
KEY_UP |0.0| L
KEY_DOWN | 0.173900 | C
KEY_UP |0.0| C
KEY_DOWN | 0.080933 | O
KEY_UP |0.0| O
KEY_DOWN | 0.279428 | M
KEY_UP |0.0| M
KEY_DOWN | 0.327514 | E
KEY_UP |0.0| E
KEY_DOWN | 0.581712 | D4
KEY_DOWN | 0.168707 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.078988 | W
KEY_DOWN | 0.183250 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.166597 | L
KEY_UP |0.0| L
KEY_DOWN | 0.176810 | C
KEY_UP |0.0| C
KEY_DOWN | 0.070704 | O
KEY_UP |0.0| O
KEY_DOWN | 0.631015 | M
KEY_UP |0.0| M
KEY_DOWN | 0.791555 | E
KEY_UP |0.0| E
KEY_DOWN | 0.295654 | D4
KEY_DOWN | 0.718962 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.143899 | W
KEY_DOWN | 0.224794 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.173274 | L
KEY_UP |0.0| L
KEY_DOWN | 0.160742 | C
KEY_UP |0.0| C
KEY_DOWN | 0.087727 | O
KEY_UP |0.0| O
KEY_DOWN | 0.294969 | M
KEY_UP |0.0| M
