Action|Time|Value
-|1|-
KEY_DOWN | 0.120585 | W
KEY_DOWN | 0.093381 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.316766 | L
KEY_UP |0.0| L
KEY_DOWN | 0.053873 | C
KEY_UP |0.0| C
KEY_DOWN | 0.184858 | O
KEY_UP |0.0| O
KEY_DOWN | 0.177201 | M
KEY_UP |0.0| M
KEY_DOWN | 0.483688 | E
KEY_UP |0.0| E
KEY_DOWN | 0.244078 | D4
KEY_DOWN | 1.051143 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|1|-
-|2|-
KEY_DOWN | 0.130572 | W
KEY_DOWN | 0.084123 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.308803 | L
KEY_UP |0.0| L
KEY_DOWN | 0.021635 | C
KEY_UP |0.0| C
KEY_DOWN | 0.161888 | O
KEY_UP |0.0| O
KEY_DOWN | 0.733905 | M
KEY_UP |0.0| M
KEY_DOWN | 1.161932 | E
KEY_UP |0.0| E
KEY_DOWN | 0.234151 | D4
KEY_DOWN | 0.474791 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|2|-
-|3|-
KEY_DOWN | 0.175767 | W
KEY_DOWN | 0.108218 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.856108 | L
KEY_UP |0.0| L
KEY_DOWN | 0.025895 | C
KEY_UP |0.0| C
KEY_DOWN | 0.194594 | O
KEY_UP |0.0| O
KEY_DOWN | 0.693602 | M
KEY_UP |0.0| M
KEY_DOWN | 0.530798 | E
KEY_UP |0.0| E
KEY_DOWN | 0.198847 | D4
KEY_DOWN | 0.235314 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|3|-
-|4|-
KEY_DOWN | 0.157270 | W
KEY_DOWN | 0.090536 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.349833 | L
KEY_UP |0.0| L
KEY_DOWN | 0.024105 | C
KEY_UP |0.0| C
KEY_DOWN | 0.157869 | O
KEY_UP |0.0| O
KEY_DOWN | 0.161852 | M
KEY_UP |0.0| M
KEY_DOWN | 0.519272 | E
KEY_UP |0.0| E
KEY_DOWN | 0.212287 | D4
KEY_DOWN | 0.370312 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|4|-
-|5|-
KEY_DOWN | 0.188245 | W
KEY_DOWN | 0.140697 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.233744 | L
KEY_UP |0.0| L
KEY_DOWN | 0.037723 | C
KEY_UP |0.0| C
KEY_DOWN | 0.162679 | O
KEY_UP |0.0| O
KEY_DOWN | 0.311690 | M
KEY_UP |0.0| M
KEY_DOWN | 0.344764 | E
KEY_UP |0.0| E
KEY_DOWN | 0.206439 | D4
KEY_DOWN | 0.339601 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|5|-
-|6|-
KEY_DOWN | 0.148577 | W
KEY_DOWN | 0.074637 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.201058 | L
KEY_UP |0.0| L
KEY_DOWN | 0.029918 | C
KEY_UP |0.0| C
KEY_DOWN | 0.172505 | O
KEY_UP |0.0| O
KEY_DOWN | 0.127463 | M
KEY_UP |0.0| M
KEY_DOWN | 0.402273 | E
KEY_UP |0.0| E
KEY_DOWN | 0.221271 | D4
KEY_DOWN | 0.563169 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|6|-
-|7|-
KEY_DOWN | 0.089481 | W
KEY_DOWN | 0.119284 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.224033 | L
KEY_UP |0.0| L
KEY_DOWN | 0.031664 | C
KEY_UP |0.0| C
KEY_DOWN | 0.179656 | O
KEY_UP |0.0| O
KEY_DOWN | 0.148817 | M
KEY_UP |0.0| M
KEY_DOWN | 0.541455 | E
KEY_UP |0.0| E
KEY_DOWN | 0.287797 | D4
KEY_DOWN | 0.791991 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|7|-
-|8|-
KEY_DOWN | 0.124094 | W
KEY_DOWN | 0.080900 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.201658 | L
KEY_UP |0.0| L
KEY_DOWN | 0.044045 | C
KEY_UP |0.0| C
KEY_DOWN | 0.164489 | O
KEY_UP |0.0| O
KEY_DOWN | 0.154240 | M
KEY_UP |0.0| M
KEY_DOWN | 0.415936 | E
KEY_UP |0.0| E
KEY_DOWN | 0.217170 | D4
KEY_DOWN | 0.345906 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|8|-
-|9|-
KEY_DOWN | 0.112926 | W
KEY_DOWN | 0.163772 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.263101 | L
KEY_UP |0.0| L
KEY_DOWN | 0.045646 | C
KEY_UP |0.0| C
KEY_DOWN | 0.163941 | O
KEY_UP |0.0| O
KEY_DOWN | 0.151204 | M
KEY_UP |0.0| M
KEY_DOWN | 2.201050 | E
KEY_UP |0.0| E
KEY_DOWN | 0.359150 | D4
KEY_DOWN | 0.504221 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|9|-
-|10|-
KEY_DOWN | 0.109718 | W
KEY_DOWN | 0.258503 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.180125 | L
KEY_UP |0.0| L
KEY_DOWN | 0.073564 | C
KEY_UP |0.0| C
KEY_DOWN | 0.193017 | O
KEY_UP |0.0| O
KEY_DOWN | 0.189046 | M
KEY_UP |0.0| M
KEY_DOWN | 0.997120 | E
KEY_UP |0.0| E
KEY_DOWN | 0.217507 | D4
KEY_DOWN | 1.882953 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|10|-
-|11|-
KEY_DOWN | 0.134061 | W
KEY_DOWN | 0.104980 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.198806 | L
KEY_UP |0.0| L
KEY_DOWN | 0.070312 | C
KEY_UP |0.0| C
KEY_DOWN | 0.141926 | O
KEY_UP |0.0| O
KEY_DOWN | 0.215516 | M
KEY_UP |0.0| M
KEY_DOWN | 0.587094 | E
KEY_UP |0.0| E
KEY_DOWN | 0.350670 | D4
KEY_DOWN | 1.447779 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|11|-
-|12|-
KEY_DOWN | 0.124209 | W
KEY_DOWN | 0.059281 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.191566 | L
KEY_UP |0.0| L
KEY_DOWN | 0.047228 | C
KEY_UP |0.0| C
KEY_DOWN | 0.141778 | O
KEY_UP |0.0| O
KEY_DOWN | 0.385149 | M
KEY_UP |0.0| M
KEY_DOWN | 0.506387 | E
KEY_UP |0.0| E
KEY_DOWN | 0.284774 | D4
KEY_DOWN | 0.889111 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|12|-
-|13|-
KEY_DOWN | 0.143000 | W
KEY_DOWN | 0.152308 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.283598 | L
KEY_UP |0.0| L
KEY_DOWN | 0.018844 | C
KEY_UP |0.0| C
KEY_DOWN | 0.181450 | O
KEY_UP |0.0| O
KEY_DOWN | 0.261703 | M
KEY_UP |0.0| M
KEY_DOWN | 0.508523 | E
KEY_UP |0.0| E
KEY_DOWN | 0.301909 | D4
KEY_DOWN | 1.966051 | D2
KEY_UP |0.0| D4
KEY_UP |0.0| D2
-|13|-
-|14|-
KEY_DOWN | 0.132881 | W
KEY_DOWN | 0.085276 | E
KEY_UP |0.0| W
KEY_UP |0.0| E
KEY_DOWN | 0.386073 | L
KEY_UP |0.0| L
KEY_DOWN | 0.074477 | C
KEY_UP |0.0| C
KEY_DOWN | 0.148489 | O
KEY_UP |0.0| O
KEY_DOWN | 0.117585 | M
KEY_UP |0.0| M
KEY_DOWN | 0.357096 | E
KEY_UP |0.0| E
KEY_DOWN | 0.416964 | D4
KEY_DOWN | 2.122635 | D2
KEY_UP |0.0| D4
